Q6,Q7,Q9,Q10,Q13,Q14,Q16,Q6_polarity,Q6_subjectivity,Q7_polarity,Q7_subjectivity,Q9_polarity,Q9_subjectivity,Q10_polarity,Q10_subjectivity,Q13_polarity,Q13_subjectivity,Q14_polarity,Q14_subjectivity,Q16_polarity,Q16_subjectivity
Yes,Never,Yes,Moderately Important,I'm worried about the safety of using electricity for taste.,Make menus clearer about salt content.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,No,Very Important,I think it's a fascinating innovation!,Introduce spice blends that enhance flavor without salt.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.875,0.8500000000000001,0.0,0.0,0.0,0.0
No,Always,Yes,Not Important,I'm worried about the safety of using electricity for taste.,"Some dishes taste fine, but others really lack depth.",Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.30833333333333335,0.35,-0.16666666666666666,0.8333333333333334
No,Always,No,Moderately Important,I think it's a fascinating innovation!,Restaurants should offer more flavorful low-sodium dishes.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.875,0.8500000000000001,0.5,0.5,1.0,1.0
Yes,Sometimes,Yes,Very Important,I'm worried about the safety of using electricity for taste.,"Some dishes taste fine, but others really lack depth.",Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,0.30833333333333335,0.35,0.0,0.0
Sometimes,Always,No,Very Important,I'm not sure it would work for everyone.,Introduce spice blends that enhance flavor without salt.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.25,0.8888888888888888,0.0,0.0,0.0,0.0
Yes,Always,No,Moderately Important,I'm not sure it would work for everyone.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,-0.25,0.8888888888888888,0.0,0.0,-0.16666666666666666,0.8333333333333334
No,Never,No,Moderately Important,I think it's a fascinating innovation!,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.875,0.8500000000000001,0.5,0.5,-0.16666666666666666,0.8333333333333334
No,Never,No,Moderately Important,I'm worried about the safety of using electricity for taste.,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Yes,Sometimes,Yes,Not Important,Sounds promising but needs more testing.,"Some dishes taste fine, but others really lack depth.",Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.35,0.5,0.30833333333333335,0.35,0.0,0.0
